v_dot_hat,omega_dot_hat,v_dot_measured,omega_dot_measured
4.619682,-0.325308,4.731143,-0.339663
10.458791,-0.010742,14.873565,0.271203
7.806448,0.292517,4.677306,0.622288
5.506321,-0.205495,4.585180,-0.976585
4.522610,0.186267,4.671991,0.790906
2.966904,0.201549,4.009580,0.164352
3.023925,-0.080720,4.864908,-0.383452
2.157553,-0.127713,2.703455,-0.103271
1.741426,-0.110772,2.042049,-0.031948
1.384063,-0.090880,1.547708,-0.004897
1.086704,-0.076409,1.167858,-0.002152
0.850324,-0.065589,0.880810,-0.001650
0.665347,-0.057182,0.664322,-0.001259
0.521666,-0.050471,0.501046,-0.000951
0.410517,-0.045002,0.377901,-0.000718
0.324713,-0.040471,0.285021,-0.000541
0.258521,-0.036667,0.214969,-0.000408
0.207439,-0.033437,0.162135,-0.000308
0.167970,-0.030669,0.122286,-0.000232
0.137411,-0.028275,0.092231,-0.000175
0.113685,-0.026189,0.069562,-0.000132
0.095199,-0.024361,0.052465,-0.000100
0.080732,-0.022748,0.039571,-0.000075
0.069353,-0.021318,0.029845,-0.000057
0.060349,-0.020042,0.022510,-0.000043
-5.364053,-0.028463,-4.963466,0.078934
-5.008786,0.016109,-4.963466,0.078934
-4.764859,0.370595,-4.912987,1.062629
-4.829054,-0.034194,-5.006834,-1.090980
-4.521054,0.128623,-4.861976,0.592805
-4.581615,-0.162689,-4.896867,-1.069251
-4.358893,-0.257939,-4.745120,-0.507893
-4.336080,-0.331354,-4.745120,-0.507893
-4.482396,0.200464,-4.674987,2.124651
-4.913743,-0.037308,-4.892150,-0.933444
-4.690242,-0.107274,-4.756994,-0.358233
-4.570273,-0.169331,-4.756994,-0.358233
-4.389657,-0.231707,-4.595558,-0.424232
-3.600442,-0.035349,-4.163407,0.809645
-2.502864,-0.007729,-3.525867,0.060509
-1.601639,-0.004825,-4.179196,-0.048394
-0.574584,0.009530,-1.419066,0.024085
-0.376672,0.022099,-1.037932,0.067914
-0.264081,0.021942,-0.800571,0.007324
-0.166989,0.020798,-0.605399,0.001102
-0.092805,0.019642,-0.456595,0.000820
-0.037683,0.018513,-0.344361,0.000651
0.002727,0.017433,-0.259724,0.000493
0.031909,0.016415,-0.195889,0.000372
0.052588,0.015467,-0.147744,0.000281
5.619157,-0.018127,4.954552,-0.445743
5.466316,0.045388,4.982871,0.416946
5.208447,-0.044491,4.916583,-0.678009
5.233799,0.070818,4.968050,0.985644
5.004369,0.020078,4.831489,-0.435537
5.113385,0.043477,4.857888,0.271781
5.150300,0.004126,4.803848,-0.431824
5.376060,0.112725,4.822301,1.324047
5.320084,-0.102484,4.656068,-2.486070
4.919319,0.031398,4.298634,1.624916
3.649948,-0.145159,3.453330,-2.096809
3.149180,-0.004729,6.331726,1.791578
1.733690,0.010053,1.226300,0.275826
1.368632,0.001408,0.749501,-0.099210
1.226805,0.000041,0.591286,-0.013094
1.097377,-0.000395,0.449215,-0.001042
0.990639,-0.000709,0.338864,-0.000569
0.903768,-0.000942,0.255559,-0.000478
0.832471,-0.001111,0.192746,-0.000366
0.773350,-0.001231,0.145373,-0.000276
0.723789,-0.001315,0.109644,-0.000208
0.681770,-0.001372,0.082696,-0.000157
0.645734,-0.001408,0.062371,-0.000118
0.614478,-0.001430,0.047042,-0.000089
0.587067,-0.001440,0.035480,-0.000067
-4.861200,0.017784,-4.847707,0.398355
-4.989608,0.024378,-4.874614,0.082302
-5.082401,-0.090067,-4.854109,-1.136349
-4.978651,-0.091107,-4.693612,-0.060100
-4.998965,0.001577,-4.693612,-0.060100
-4.311950,-0.140458,-4.693612,-0.060100
-2.848192,-0.002559,-4.052474,1.539816
-2.182203,0.010814,-2.569921,0.127732
-1.786152,0.014606,-1.956662,0.025480
-1.471245,0.016161,-1.481619,0.003894
-1.223037,0.017161,-1.117770,0.002037
-1.029944,0.017808,-0.843025,0.001583
-0.879556,0.018188,-0.635823,0.001205
-0.761999,0.018371,-0.479551,0.000910
-0.669662,0.018409,-0.361688,0.000687
-0.596696,0.018342,-0.272793,0.000518
-0.538618,0.018200,-0.205746,0.000391
-0.491997,0.018005,-0.155178,0.000295
-0.454210,0.017775,-0.117039,0.000222
-0.423252,0.017520,-0.088273,0.000168
-0.397593,0.017251,-0.066578,0.000126
-0.376061,0.016973,-0.050214,0.000095
-0.357762,0.016691,-0.037873,0.000072
-0.342008,0.016410,-0.028564,0.000054
5.088171,-0.018803,4.837611,-0.515199
5.221279,0.021570,4.875852,0.414256
5.206217,-0.098399,4.814729,-1.210447
5.533744,0.056274,4.923489,1.560598
5.345379,0.087499,4.710535,0.373212
5.347501,0.044792,4.646380,-0.408035
5.443606,0.197878,4.659501,1.518936
5.126196,0.013716,4.451632,-1.757394
4.287269,0.071261,3.922529,0.648265
3.201718,0.004819,8.648347,-0.614749
2.159981,0.007661,2.315095,0.085187
1.612593,-0.001839,1.537071,-0.074585
1.350354,-0.004306,1.178133,-0.012779
1.139071,-0.005445,0.891438,-0.001969
