v_dot_hat,omega_dot_hat,v_dot_measured,omega_dot_measured
0.000000,0.000000,0.000000,0.000000
1.304742,-0.029131,2.071225,-0.030268
1.596395,0.000845,2.054969,0.029410
1.724432,0.002561,2.036922,0.001498
1.797759,0.002991,2.018741,0.000000
-3.037604,0.080976,-3.554484,0.082636
-3.236574,-0.005738,-3.526630,-0.078689
-3.308875,-0.014178,-3.495591,-0.005444
-3.343806,-0.015237,-3.464387,-0.000225
-6.694690,0.107287,-6.791719,0.208453
-6.704068,-0.034531,-6.722530,-0.172310
-6.721372,-0.054399,-6.744058,-0.039325
-6.738889,-0.041696,-6.748451,0.003155
-6.901889,-0.061960,-6.739285,-0.065977
-6.776755,-0.071258,-6.742614,-0.056687
-6.764782,0.108853,-6.849589,0.426094
-6.685185,-0.001400,-6.698391,-0.234673
4.655062,-0.205962,4.524007,-0.277530
4.849873,-0.040033,5.235885,0.199099
4.898493,-0.024748,5.191269,0.013683
4.914387,-0.018442,5.144998,0.000421
6.400252,-0.024327,6.600608,-0.047985
6.396328,-0.011850,6.545074,0.045620
6.377888,-0.008223,6.487030,0.003138
6.346314,-0.005336,6.429132,0.000067
6.303818,-0.002789,6.371725,-0.000037
1.687631,0.008997,1.686372,0.089172
1.670524,0.003149,1.665974,-0.086307
1.653328,0.003443,1.650541,-0.006181
1.636035,0.003709,1.635753,-0.000284
1.618665,0.003933,1.621135,-0.000013
3.432310,0.000251,3.465472,-0.027599
3.399312,0.003340,3.435808,0.026262
3.369231,0.004015,3.405263,0.001814
3.341648,0.004550,3.374844,0.000070
3.316000,0.004986,3.344687,-0.000007
0.518398,0.011732,0.502649,0.041836
0.512576,0.007427,0.496185,-0.039810
0.507062,0.006920,0.491513,-0.002796
0.501806,0.006515,0.487104,-0.000124
0.496765,0.006156,0.482751,-0.000005
6.331773,-0.011454,6.398461,-0.112664
6.292391,0.002428,6.347201,0.109212
6.256800,0.003757,6.290917,0.007167
6.224389,0.004610,6.234754,0.000173
6.193869,0.005292,6.179077,-0.000039
4.380842,0.012895,4.321766,0.044463
4.348408,0.007070,4.280717,-0.043761
4.311690,0.006777,4.242467,-0.003212
4.271281,0.006628,4.204562,-0.000166
4.228404,0.006466,4.166992,-0.000017
-7.593216,0.178940,-6.967549,0.703855
-7.455870,0.062291,-6.786865,-0.411675
-7.395277,0.007808,-6.801466,-0.346215
-7.369449,0.055312,-6.983722,0.408057
-7.295424,-0.075561,-6.617110,-1.279141
4.779641,0.048912,-0.133025,0.555400
4.794715,0.046751,5.048423,0.337143
4.811689,0.036006,5.019946,0.033127
4.836237,0.033513,4.975342,0.001335
4.868526,0.031804,4.930862,-0.001338
-6.888468,-0.007669,-6.887683,0.460381
-6.921112,-0.075258,-6.696315,-0.645636
-6.934695,-0.070778,-6.753102,-0.338015
-6.948998,-0.005442,-7.002744,0.748405
-6.931704,-0.031834,-6.867939,0.138968
2.939683,-0.011311,0.651170,-0.628143
2.948308,0.025645,3.246327,0.241142
2.942917,0.013910,3.223201,0.021044
2.941877,0.013041,3.194555,0.000972
2.944645,0.013152,3.166015,0.000021
-4.972716,-0.009695,-5.243621,0.128867
-4.983024,-0.021004,-5.203011,-0.124852
-4.976088,-0.015195,-5.157302,-0.008079
-4.952147,-0.015216,-5.111286,-0.000211
-4.911720,-0.015642,-5.065630,0.000112
5.006711,0.011943,5.380804,-0.162195
4.954996,0.025020,5.340718,0.158239
4.921256,0.017509,5.293863,0.010251
4.903018,0.017445,5.246624,0.000266
4.898165,0.017832,5.199761,-0.000035
0.271938,0.005629,0.286178,0.074411
0.272465,0.000340,0.279951,-0.072361
0.272940,0.004012,0.277058,-0.005091
0.273380,0.004240,0.274556,-0.000224
-3.207313,-0.005075,-3.385458,0.054363
-3.214766,-0.009533,-3.357764,-0.051761
-3.215352,-0.007325,-3.328079,-0.003581
-3.209258,-0.007580,-3.298364,-0.000146
-1.423950,-0.003066,-1.408337,-0.027641
-1.415255,-0.001480,-1.394446,0.026309
-1.405519,-0.003048,-1.381822,0.001846
-1.394803,-0.003348,-1.369462,0.000084
-7.041130,-0.032828,-6.694313,-0.342048
-6.970769,0.004886,-6.917136,0.521108
-6.868493,-0.042972,-6.681118,-0.505237
-6.761437,0.016068,-6.969109,0.767234
-5.309077,-0.040300,-6.683864,-0.288227
-5.251356,-0.028241,-5.922379,-0.198999
-5.210176,-0.014055,-5.520000,0.038139
-5.187722,-0.016549,-5.469758,0.004730
